"concentration","value","compound"
0.806179973983887,0.053,"Colestin_BW WT"
0.806179973983887,0.053,"Colestin_BW WT"
0.806179973983887,0.056,"Colestin_BW WT"
0.806179973983887,0.056,"Colestin_BW tolC"
0.806179973983887,0.053,"Colestin_BW tolC"
0.806179973983887,0.054,"Colestin_BW tolC"
0.806179973983887,0.051,"Blank"
0.329058719264225,0.055,"Colestin_BW WT"
0.329058719264225,0.052,"Colestin_BW WT"
0.329058719264225,0.052,"Colestin_BW WT"
0.329058719264225,0.052,"Colestin_BW tolC"
0.329058719264225,0.053,"Colestin_BW tolC"
0.329058719264225,0.053,"Colestin_BW tolC"
0.329058719264225,0.052,"Blank"
-0.148062535455438,0.054,"Colestin_BW WT"
-0.148062535455438,0.053,"Colestin_BW WT"
-0.148062535455438,0.052,"Colestin_BW WT"
-0.148062535455438,0.052,"Colestin_BW tolC"
-0.148062535455438,0.054,"Colestin_BW tolC"
-0.148062535455438,0.054,"Colestin_BW tolC"
-0.148062535455438,0.052,"Blank"
-0.6251837901751,0.159,"Colestin_BW WT"
-0.6251837901751,0.195,"Colestin_BW WT"
-0.6251837901751,0.201,"Colestin_BW WT"
-0.6251837901751,0.053,"Colestin_BW tolC"
-0.6251837901751,0.261,"Colestin_BW tolC"
-0.6251837901751,0.054,"Colestin_BW tolC"
-0.6251837901751,0.053,"Blank"
-1.10230504489476,0.427,"Colestin_BW WT"
-1.10230504489476,0.403,"Colestin_BW WT"
-1.10230504489476,0.418,"Colestin_BW WT"
-1.10230504489476,0.491,"Colestin_BW tolC"
-1.10230504489476,0.486,"Colestin_BW tolC"
-1.10230504489476,0.494,"Colestin_BW tolC"
-1.10230504489476,0.052,"Blank"
-1.57942629961443,0.426,"Colestin_BW WT"
-1.57942629961443,0.505,"Colestin_BW WT"
-1.57942629961443,0.498,"Colestin_BW WT"
-1.57942629961443,0.479,"Colestin_BW tolC"
-1.57942629961443,0.482,"Colestin_BW tolC"
-1.57942629961443,0.481,"Colestin_BW tolC"
-1.57942629961443,0.051,"Blank"
-2.05654755433409,0.485,"Colestin_BW WT"
-2.05654755433409,0.494,"Colestin_BW WT"
-2.05654755433409,0.487,"Colestin_BW WT"
-2.05654755433409,0.5,"Colestin_BW tolC"
-2.05654755433409,0.495,"Colestin_BW tolC"
-2.05654755433409,0.483,"Colestin_BW tolC"
-2.05654755433409,0.051,"Blank"
-2.53366880905375,0.509,"Colestin_BW WT"
-2.53366880905375,0.513,"Colestin_BW WT"
-2.53366880905375,0.536,"Colestin_BW WT"
-2.53366880905375,0.48,"Colestin_BW tolC"
-2.53366880905375,0.49,"Colestin_BW tolC"
-2.53366880905375,0.492,"Colestin_BW tolC"
-2.53366880905375,0.052,"Blank"
-3.01079006377341,0.529,"Colestin_BW WT"
-3.01079006377341,0.513,"Colestin_BW WT"
-3.01079006377341,0.509,"Colestin_BW WT"
-3.01079006377341,0.488,"Colestin_BW tolC"
-3.01079006377341,0.493,"Colestin_BW tolC"
-3.01079006377341,0.489,"Colestin_BW tolC"
-3.01079006377341,0.052,"Blank"
-3.48791131849308,0.528,"Colestin_BW WT"
-3.48791131849308,0.486,"Colestin_BW WT"
-3.48791131849308,0.49,"Colestin_BW WT"
-3.48791131849308,0.499,"Colestin_BW tolC"
-3.48791131849308,0.506,"Colestin_BW tolC"
-3.48791131849308,0.512,"Colestin_BW tolC"
-3.48791131849308,0.051,"Blank"
-3.96503257321274,0.526,"Colestin_BW WT"
-3.96503257321274,0.5,"Colestin_BW WT"
-3.96503257321274,0.501,"Colestin_BW WT"
-3.96503257321274,0.505,"Colestin_BW tolC"
-3.96503257321274,0.518,"Colestin_BW tolC"
-3.96503257321274,0.527,"Colestin_BW tolC"
-3.96503257321274,0.05,"Blank"
-Inf,0.507,"Colestin_BW WT"
-Inf,0.503,"Colestin_BW WT"
-Inf,0.494,"Colestin_BW WT"
-Inf,0.527,"Colestin_BW tolC"
-Inf,0.551,"Colestin_BW tolC"
-Inf,0.567,"Colestin_BW tolC"
-Inf,0.053,"Blank"
