"concentration","value","compound"
-1.76955107862173,"0.06","0.017"
-Inf,"0.043","0"
-0.385606273598312,"0.411522633744856","0.411522633744856"
-0.40340290437354,"0.443","0.395"
-0.492144128304169,"0.37","0.322"
-0.519993057042849,"0.35","0.302"
-0.228412519118745,"0.639","0.591"
-0.228412519118745,"0.639","0.591"
-0.229884705212898,"0.637","0.589"
-Inf,"0.048","0"
-0.385606273598312,"0.411522633744856","0.411522633744856"
-0.447331783887807,"0.4","0.357"
-0.489454989793388,"0.367","0.324"
-0.493494967595128,"0.364","0.321"
-0.253365801062421,"0.601","0.558"
-0.238824186844269,"0.62","0.577"
-0.235077015350112,"0.625","0.582"
-Inf,"0.043","0"
-0.385606273598312,"0.411522633744856","0.411522633744856"
-0.481486060122112,"0.374","0.33"
-0.486782399932061,"0.37","0.326"
-0.511449283499556,"0.352","0.308"
-0.24184537803261,"0.617","0.573"
-0.246416941107093,"0.611","0.567"
-0.247951552180562,"0.609","0.565"
-Inf,"0.044","0"
-0.385606273598312,"0.411522633744856","0.411522633744856"
-2.15490195998574,"0.05","0.00700000000000001"
-2.30102999566398,"0.048","0.005"
-2.22184874961636,"0.049","0.00600000000000001"
-0.684029654543082,"0.25","0.207"
-1.21467016498923,"0.104","0.061"
-2.30102999566398,"0.048","0.005"
-Inf,"0.043","0"
-0.862727528317976,"0.137174211248285","0.137174211248285"
-0.442492798094342,"0.409","0.361"
-0.469800301796918,"0.387","0.339"
-0.453457336521869,"0.4","0.352"
-0.235823867609669,"0.629","0.581"
-0.241088107602026,"0.622","0.574"
-0.230622673923862,"0.636","0.588"
-Inf,"0.048","0"
-0.862727528317976,"0.137174211248285","0.137174211248285"
-0.440093374963888,"0.406","0.363"
-0.51427857351842,"0.349","0.306"
-0.515700160653214,"0.348","0.305"
-0.263603497723358,"0.588","0.545"
-0.254144804826271,"0.6","0.557"
-0.238072161579471,"0.621","0.578"
-Inf,"0.043","0"
-0.862727528317976,"0.137174211248285","0.137174211248285"
-0.454692883534176,"0.394","0.351"
-0.498940737782248,"0.36","0.317"
-0.473660722610156,"0.379","0.336"
-0.244887733604929,"0.612","0.569"
-0.249491605148654,"0.606","0.563"
-0.247951552180562,"0.608","0.565"
-Inf,"0.043","0"
-0.862727528317976,"0.137174211248285","0.137174211248285"
-1.88605664769316,"0.056","0.013"
-1.88605664769316,"0.056","0.013"
-1.95860731484178,"0.054","0.011"
-0.161150909262745,"0.733","0.69"
-0.153044674980176,"0.746","0.703"
-0.178486471595227,"0.706","0.663"
-Inf,"0.043","0"
-1.33984878303764,"0.0457247370827618","0.0457247370827618"
-0.378823718224965,"0.464","0.418"
-0.452225294612177,"0.399","0.353"
-0.471083299722345,"0.384","0.338"
-0.233587152887601,"0.63","0.584"
-0.22767829327708,"0.638","0.592"
-0.235077015350112,"0.628","0.582"
-Inf,"0.046","0"
-1.33984878303764,"0.0457247370827618","0.0457247370827618"
-0.425968732272281,"0.418","0.375"
-0.512861624522813,"0.35","0.307"
-0.546681659952962,"0.327","0.284"
-0.232102383981909,"0.629","0.586"
-0.232102383981909,"0.629","0.586"
-0.232102383981909,"0.629","0.586"
-Inf,"0.043","0"
-1.33984878303764,"0.0457247370827618","0.0457247370827618"
-0.47755576649368,"0.376","0.333"
-0.484126156288321,"0.371","0.328"
-0.462180904926726,"0.388","0.345"
-0.235077015350112,"0.625","0.582"
-0.220403508742175,"0.645","0.602"
-0.243363891754152,"0.614","0.571"
-Inf,"0.043","0"
-1.33984878303764,"0.0457247370827618","0.0457247370827618"
-1.3767507096021,"0.085","0.042"
-1.46852108295774,"0.077","0.034"
-1.43179827593301,"0.08","0.037"
-0.182434630440219,"0.7","0.657"
-0.180456064458131,"0.703","0.66"
-0.189767482004916,"0.689","0.646"
-Inf,"0.043","0"
-1.8169700377573,"0.0152415790275873","0.0152415790275873"
-0.405607449624573,"0.439","0.393"
-0.415668775632469,"0.43","0.384"
-0.450996737974212,"0.4","0.354"
-0.22767829327708,"0.638","0.592"
-0.230622673923862,"0.634","0.588"
-0.232102383981909,"0.632","0.586"
-Inf,"0.046","0"
-1.8169700377573,"0.0152415790275873","0.0152415790275873"
-0.474955192963155,"0.379","0.335"
-0.531652669587843,"0.338","0.294"
-0.539102157243452,"0.333","0.289"
-0.258060922270801,"0.596","0.552"
-0.213248577854439,"0.656","0.612"
-0.236572006437063,"0.624","0.58"
-Inf,"0.044","0"
-1.8169700377573,"0.0152415790275873","0.0152415790275873"
-0.448550002027125,"0.4","0.356"
-0.464705879957229,"0.387","0.343"
-0.478861916295964,"0.376","0.332"
-0.22548303427145,"0.639","0.595"
-0.232102383981909,"0.63","0.586"
-0.236572006437063,"0.624","0.58"
-Inf,"0.044","0"
-1.8169700377573,"0.0152415790275873","0.0152415790275873"
-0.75448733218585,"0.221","0.176"
-0.767003889607846,"0.216","0.171"
-0.730487055782084,"0.231","0.186"
-0.249491605148654,"0.608","0.563"
-0.20551195334083,"0.668","0.623"
-0.239577516576788,"0.621","0.576"
-Inf,"0.045","0"
-2.29409129247696,"0.00508052634252909","0.00508052634252909"
-0.412289034981089,"0.432","0.387"
-0.45717457304082,"0.394","0.349"
-0.431798275933005,"0.415","0.37"
-0.22767829327708,"0.637","0.592"
-0.22767829327708,"0.637","0.592"
-0.243363891754152,"0.616","0.571"
-Inf,"0.045","0"
-2.29409129247696,"0.00508052634252909","0.00508052634252909"
-0.442492798094342,"0.405","0.361"
-0.486782399932061,"0.37","0.326"
-0.512861624522813,"0.351","0.307"
-0.266000713461613,"0.586","0.542"
-0.243363891754152,"0.615","0.571"
-0.246416941107093,"0.611","0.567"
-Inf,"0.044","0"
-2.29409129247696,"0.00508052634252909","0.00508052634252909"
-0.486782399932061,"0.37","0.326"
-0.449771646944906,"0.399","0.355"
-0.497572880015567,"0.362","0.318"
-0.229147988357856,"0.634","0.59"
-0.22548303427145,"0.639","0.595"
-0.234331445240986,"0.627","0.583"
-Inf,"0.044","0"
-2.29409129247696,"0.00508052634252909","0.00508052634252909"
-0.414539270491499,"0.428","0.385"
-0.429457060118102,"0.415","0.372"
-0.465973893943865,"0.385","0.342"
-0.247951552180562,"0.608","0.565"
-0.229147988357856,"0.633","0.59"
-0.238072161579471,"0.621","0.578"
-Inf,"0.043","0"
-2.77121254719662,"0.00169350878084303","0.00169350878084303"
-0.404503778174426,"0.439","0.394"
-0.428291168191312,"0.418","0.373"
-0.411168274405793,"0.433","0.388"
-0.236572006437063,"0.625","0.58"
-0.237321436272564,"0.624","0.579"
-0.238072161579471,"0.623","0.578"
-Inf,"0.045","0"
-2.77121254719662,"0.00169350878084303","0.00169350878084303"
-0.431798275933005,"0.413","0.37"
-0.496209316942819,"0.362","0.319"
-0.496209316942819,"0.362","0.319"
-0.258848401148215,"0.594","0.551"
-0.244887733604929,"0.612","0.569"
-0.238072161579471,"0.621","0.578"
-Inf,"0.043","0"
-2.77121254719662,"0.00169350878084303","0.00169350878084303"
-0.476253533188435,"0.377","0.334"
-0.471083299722345,"0.381","0.338"
-0.484126156288321,"0.371","0.328"
-0.229884705212898,"0.632","0.589"
-0.229884705212898,"0.632","0.589"
-0.226945306635737,"0.636","0.593"
-Inf,"0.043","0"
-2.77121254719662,"0.00169350878084303","0.00169350878084303"
-0.42712839779952,"0.417","0.374"
-0.43297363384094,"0.412","0.369"
-0.473660722610156,"0.379","0.336"
-0.237321436272564,"0.622","0.579"
-0.229884705212898,"0.632","0.589"
-0.247183568811729,"0.609","0.566"
-Inf,"0.043","0"
-Inf,"0","0"
-0.361510743045363,"0.482","0.435"
-0.406713932979543,"0.439","0.392"
-0.422508200162775,"0.425","0.378"
-0.220403508742175,"0.649","0.602"
-0.226945306635737,"0.64","0.593"
-0.226945306635737,"0.64","0.593"
-Inf,"0.047","0"
-Inf,"0","0"
-0.481486060122112,"0.374","0.33"
-0.450996737974212,"0.398","0.354"
-0.485452247339714,"0.371","0.327"
-0.22112552799726,"0.645","0.601"
-0.211124884224583,"0.659","0.615"
-0.199282921717615,"0.676","0.632"
-Inf,"0.044","0"
-Inf,"0","0"
-0.458420756053419,"0.391","0.348"
-0.469800301796918,"0.382","0.339"
-0.464705879957229,"0.386","0.343"
-0.24184537803261,"0.616","0.573"
-0.244887733604929,"0.612","0.569"
-0.243363891754152,"0.614","0.571"
-Inf,"0.043","0"
-Inf,"0","0"
-0.362510270487489,"0.477","0.434"
-0.448550002027125,"0.399","0.356"
-0.450996737974212,"0.397","0.354"
-0.20690839982342,"0.664","0.621"
-0.206209615309181,"0.665","0.622"
-0.198596289982645,"0.676","0.633"
-Inf,"0.043","0"
-Inf,"E coli","E coli"
-Inf,"P aeruginosa","P aeruginosa"
-Inf,"blank","blank"
-Inf,"E coli","E coli"
-Inf,"P aeruginosa","P aeruginosa"
-Inf,"blank","blank"
-Inf,"E coli","E coli"
-Inf,"P aeruginosa","P aeruginosa"
-Inf,"blank","blank"
-Inf,"E coli","E coli"
-Inf,"P aeruginosa","P aeruginosa"
-Inf,"blank","blank"
