"concentration","value","compound"
1.69897000433602,0.041,"Blank"
1.69897000433602,0.043,"Imipenem_PA14 WT"
1.69897000433602,0.043,"Imipenem_PA14 WT"
1.69897000433602,0.043,"Imipenem_PA14 WT"
1.22184874961636,0.04,"Blank"
1.22184874961636,0.041,"Imipenem_PA14 WT"
1.22184874961636,0.041,"Imipenem_PA14 WT"
1.22184874961636,0.041,"Imipenem_PA14 WT"
0.920818753952375,0.039,"Blank"
0.920818753952375,0.043,"Imipenem_PA14 WT"
0.920818753952375,0.043,"Imipenem_PA14 WT"
0.920818753952375,0.043,"Imipenem_PA14 WT"
0.619788758288394,0.04,"Blank"
0.619788758288394,0.259,"Imipenem_PA14 WT"
0.619788758288394,0.273,"Imipenem_PA14 WT"
0.619788758288394,0.263,"Imipenem_PA14 WT"
0.318758762624413,0.04,"Blank"
0.318758762624413,0.522,"Imipenem_PA14 WT"
0.318758762624413,0.503,"Imipenem_PA14 WT"
0.318758762624413,0.473,"Imipenem_PA14 WT"
0.0177287669604316,0.04,"Blank"
0.0177287669604316,0.531,"Imipenem_PA14 WT"
0.0177287669604316,0.518,"Imipenem_PA14 WT"
0.0177287669604316,0.518,"Imipenem_PA14 WT"
-0.28330122870355,0.04,"Blank"
-0.28330122870355,0.562,"Imipenem_PA14 WT"
-0.28330122870355,0.543,"Imipenem_PA14 WT"
-0.28330122870355,0.511,"Imipenem_PA14 WT"
-0.584331224367531,0.04,"Blank"
-0.584331224367531,0.532,"Imipenem_PA14 WT"
-0.584331224367531,0.52,"Imipenem_PA14 WT"
-0.584331224367531,0.541,"Imipenem_PA14 WT"
-0.885361220031512,0.039,"Blank"
-0.885361220031512,0.524,"Imipenem_PA14 WT"
-0.885361220031512,0.535,"Imipenem_PA14 WT"
-0.885361220031512,0.503,"Imipenem_PA14 WT"
-1.18639121569549,0.039,"Blank"
-1.18639121569549,0.54,"Imipenem_PA14 WT"
-1.18639121569549,0.538,"Imipenem_PA14 WT"
-1.18639121569549,0.531,"Imipenem_PA14 WT"
-1.48742121135947,0.04,"Blank"
-1.48742121135947,0.527,"Imipenem_PA14 WT"
-1.48742121135947,0.533,"Imipenem_PA14 WT"
-1.48742121135947,0.539,"Imipenem_PA14 WT"
-Inf,0.039,"Blank"
-Inf,0.573,"Imipenem_PA14 WT"
-Inf,0.555,"Imipenem_PA14 WT"
-Inf,0.544,"Imipenem_PA14 WT"
