"concentration","value","compound"
1.69897000433602,0.075,"Cys 861-2_PA14 WT"
1.69897000433602,0.096,"Cys 861-2_PA14 WT"
1.69897000433602,0.099,"Cys 861-2_PA14 WT"
1.69897000433602,0.043,"Cys 861-2_PA14 delta mexAB"
1.69897000433602,0.043,"Cys 861-2_PA14 delta mexAB"
1.69897000433602,0.044,"Cys 861-2_PA14 delta mexAB"
1.69897000433602,0.042,"Blank"
1.22184874961636,0.256,"Cys 861-2_PA14 WT"
1.22184874961636,0.204,"Cys 861-2_PA14 WT"
1.22184874961636,0.253,"Cys 861-2_PA14 WT"
1.22184874961636,0.062,"Cys 861-2_PA14 delta mexAB"
1.22184874961636,0.055,"Cys 861-2_PA14 delta mexAB"
1.22184874961636,0.05,"Cys 861-2_PA14 delta mexAB"
1.22184874961636,0.041,"Blank"
0.920818753952375,0.474,"Cys 861-2_PA14 WT"
0.920818753952375,0.387,"Cys 861-2_PA14 WT"
0.920818753952375,0.413,"Cys 861-2_PA14 WT"
0.920818753952375,0.135,"Cys 861-2_PA14 delta mexAB"
0.920818753952375,0.131,"Cys 861-2_PA14 delta mexAB"
0.920818753952375,0.124,"Cys 861-2_PA14 delta mexAB"
0.920818753952375,0.041,"Blank"
0.619788758288394,0.554,"Cys 861-2_PA14 WT"
0.619788758288394,0.453,"Cys 861-2_PA14 WT"
0.619788758288394,0.466,"Cys 861-2_PA14 WT"
0.619788758288394,0.346,"Cys 861-2_PA14 delta mexAB"
0.619788758288394,0.357,"Cys 861-2_PA14 delta mexAB"
0.619788758288394,0.353,"Cys 861-2_PA14 delta mexAB"
0.619788758288394,0.041,"Blank"
0.318758762624413,0.586,"Cys 861-2_PA14 WT"
0.318758762624413,0.456,"Cys 861-2_PA14 WT"
0.318758762624413,0.462,"Cys 861-2_PA14 WT"
0.318758762624413,0.443,"Cys 861-2_PA14 delta mexAB"
0.318758762624413,0.454,"Cys 861-2_PA14 delta mexAB"
0.318758762624413,0.451,"Cys 861-2_PA14 delta mexAB"
0.318758762624413,0.04,"Blank"
0.0177287669604316,0.57,"Cys 861-2_PA14 WT"
0.0177287669604316,0.466,"Cys 861-2_PA14 WT"
0.0177287669604316,0.478,"Cys 861-2_PA14 WT"
0.0177287669604316,0.443,"Cys 861-2_PA14 delta mexAB"
0.0177287669604316,0.451,"Cys 861-2_PA14 delta mexAB"
0.0177287669604316,0.454,"Cys 861-2_PA14 delta mexAB"
0.0177287669604316,0.04,"Blank"
-0.28330122870355,0.606,"Cys 861-2_PA14 WT"
-0.28330122870355,0.481,"Cys 861-2_PA14 WT"
-0.28330122870355,0.474,"Cys 861-2_PA14 WT"
-0.28330122870355,0.481,"Cys 861-2_PA14 delta mexAB"
-0.28330122870355,0.471,"Cys 861-2_PA14 delta mexAB"
-0.28330122870355,0.475,"Cys 861-2_PA14 delta mexAB"
-0.28330122870355,0.04,"Blank"
-0.584331224367531,0.6,"Cys 861-2_PA14 WT"
-0.584331224367531,0.478,"Cys 861-2_PA14 WT"
-0.584331224367531,0.496,"Cys 861-2_PA14 WT"
-0.584331224367531,0.467,"Cys 861-2_PA14 delta mexAB"
-0.584331224367531,0.472,"Cys 861-2_PA14 delta mexAB"
-0.584331224367531,0.467,"Cys 861-2_PA14 delta mexAB"
-0.584331224367531,0.041,"Blank"
-0.885361220031512,0.601,"Cys 861-2_PA14 WT"
-0.885361220031512,0.471,"Cys 861-2_PA14 WT"
-0.885361220031512,0.506,"Cys 861-2_PA14 WT"
-0.885361220031512,0.475,"Cys 861-2_PA14 delta mexAB"
-0.885361220031512,0.457,"Cys 861-2_PA14 delta mexAB"
-0.885361220031512,0.465,"Cys 861-2_PA14 delta mexAB"
-0.885361220031512,0.041,"Blank"
-1.18639121569549,0.614,"Cys 861-2_PA14 WT"
-1.18639121569549,0.481,"Cys 861-2_PA14 WT"
-1.18639121569549,0.495,"Cys 861-2_PA14 WT"
-1.18639121569549,0.469,"Cys 861-2_PA14 delta mexAB"
-1.18639121569549,0.467,"Cys 861-2_PA14 delta mexAB"
-1.18639121569549,0.477,"Cys 861-2_PA14 delta mexAB"
-1.18639121569549,0.041,"Blank"
-1.48742121135947,0.64,"Cys 861-2_PA14 WT"
-1.48742121135947,0.481,"Cys 861-2_PA14 WT"
-1.48742121135947,0.518,"Cys 861-2_PA14 WT"
-1.48742121135947,0.472,"Cys 861-2_PA14 delta mexAB"
-1.48742121135947,0.471,"Cys 861-2_PA14 delta mexAB"
-1.48742121135947,0.481,"Cys 861-2_PA14 delta mexAB"
-1.48742121135947,0.041,"Blank"
-Inf,0.644,"Cys 861-2_PA14 WT"
-Inf,0.514,"Cys 861-2_PA14 WT"
-Inf,0.493,"Cys 861-2_PA14 WT"
-Inf,0.459,"Cys 861-2_PA14 delta mexAB"
-Inf,0.463,"Cys 861-2_PA14 delta mexAB"
-Inf,0.461,"Cys 861-2_PA14 delta mexAB"
-Inf,0.042,"Blank"
