"concentration","value","compound"
0.806179973983887,0.056,"AR_351_BW WT"
0.806179973983887,0.057,"AR_351_BW WT"
0.806179973983887,0.057,"AR_351_BW WT"
0.806179973983887,0.055,"AR_351_BW tolC"
0.806179973983887,0.054,"AR_351_BW tolC"
0.806179973983887,0.056,"AR_351_BW tolC"
0.806179973983887,0.052,"Blank"
0.329058719264225,0.058,"AR_351_BW WT"
0.329058719264225,0.055,"AR_351_BW WT"
0.329058719264225,0.056,"AR_351_BW WT"
0.329058719264225,0.053,"AR_351_BW tolC"
0.329058719264225,0.052,"AR_351_BW tolC"
0.329058719264225,0.053,"AR_351_BW tolC"
0.329058719264225,0.05,"Blank"
-0.148062535455438,0.061,"AR_351_BW WT"
-0.148062535455438,0.058,"AR_351_BW WT"
-0.148062535455438,0.056,"AR_351_BW WT"
-0.148062535455438,0.054,"AR_351_BW tolC"
-0.148062535455438,0.054,"AR_351_BW tolC"
-0.148062535455438,0.054,"AR_351_BW tolC"
-0.148062535455438,0.05,"Blank"
-0.6251837901751,0.064,"AR_351_BW WT"
-0.6251837901751,0.063,"AR_351_BW WT"
-0.6251837901751,0.061,"AR_351_BW WT"
-0.6251837901751,0.055,"AR_351_BW tolC"
-0.6251837901751,0.056,"AR_351_BW tolC"
-0.6251837901751,0.055,"AR_351_BW tolC"
-0.6251837901751,0.051,"Blank"
-1.10230504489476,0.076,"AR_351_BW WT"
-1.10230504489476,0.073,"AR_351_BW WT"
-1.10230504489476,0.067,"AR_351_BW WT"
-1.10230504489476,0.199,"AR_351_BW tolC"
-1.10230504489476,0.159,"AR_351_BW tolC"
-1.10230504489476,0.057,"AR_351_BW tolC"
-1.10230504489476,0.05,"Blank"
-1.57942629961443,0.129,"AR_351_BW WT"
-1.57942629961443,0.106,"AR_351_BW WT"
-1.57942629961443,0.1,"AR_351_BW WT"
-1.57942629961443,0.061,"AR_351_BW tolC"
-1.57942629961443,0.06,"AR_351_BW tolC"
-1.57942629961443,0.207,"AR_351_BW tolC"
-1.57942629961443,0.05,"Blank"
-2.05654755433409,0.335,"AR_351_BW WT"
-2.05654755433409,0.245,"AR_351_BW WT"
-2.05654755433409,0.236,"AR_351_BW WT"
-2.05654755433409,0.181,"AR_351_BW tolC"
-2.05654755433409,0.077,"AR_351_BW tolC"
-2.05654755433409,0.074,"AR_351_BW tolC"
-2.05654755433409,0.05,"Blank"
-2.53366880905375,0.467,"AR_351_BW WT"
-2.53366880905375,0.376,"AR_351_BW WT"
-2.53366880905375,0.386,"AR_351_BW WT"
-2.53366880905375,0.24,"AR_351_BW tolC"
-2.53366880905375,0.237,"AR_351_BW tolC"
-2.53366880905375,0.234,"AR_351_BW tolC"
-2.53366880905375,0.051,"Blank"
-3.01079006377341,0.543,"AR_351_BW WT"
-3.01079006377341,0.452,"AR_351_BW WT"
-3.01079006377341,0.452,"AR_351_BW WT"
-3.01079006377341,0.487,"AR_351_BW tolC"
-3.01079006377341,0.492,"AR_351_BW tolC"
-3.01079006377341,0.486,"AR_351_BW tolC"
-3.01079006377341,0.051,"Blank"
-3.48791131849308,0.598,"AR_351_BW WT"
-3.48791131849308,0.464,"AR_351_BW WT"
-3.48791131849308,0.466,"AR_351_BW WT"
-3.48791131849308,0.492,"AR_351_BW tolC"
-3.48791131849308,0.496,"AR_351_BW tolC"
-3.48791131849308,0.504,"AR_351_BW tolC"
-3.48791131849308,0.05,"Blank"
-3.96503257321274,0.643,"AR_351_BW WT"
-3.96503257321274,0.478,"AR_351_BW WT"
-3.96503257321274,0.444,"AR_351_BW WT"
-3.96503257321274,0.507,"AR_351_BW tolC"
-3.96503257321274,0.497,"AR_351_BW tolC"
-3.96503257321274,0.504,"AR_351_BW tolC"
-3.96503257321274,0.049,"Blank"
-Inf,0.655,"AR_351_BW WT"
-Inf,0.505,"AR_351_BW WT"
-Inf,0.47,"AR_351_BW WT"
-Inf,0.517,"AR_351_BW tolC"
-Inf,0.508,"AR_351_BW tolC"
-Inf,0.519,"AR_351_BW tolC"
-Inf,0.051,"Blank"
