"concentration","value","compound"
2.89641597647312,0.073,"Novo_BW WT"
2.89641597647312,0.067,"Novo_BW WT"
2.89641597647312,0.062,"Novo_BW WT"
2.89641597647312,0.05,"Novo_BW tolC"
2.89641597647312,0.05,"Novo_BW tolC"
2.89641597647312,0.051,"Novo_BW tolC"
2.89641597647312,0.049,"Blank"
2.41929472175346,0.099,"Novo_BW WT"
2.41929472175346,0.078,"Novo_BW WT"
2.41929472175346,0.071,"Novo_BW WT"
2.41929472175346,0.049,"Novo_BW tolC"
2.41929472175346,0.047,"Novo_BW tolC"
2.41929472175346,0.047,"Novo_BW tolC"
2.41929472175346,0.045,"Blank"
1.9421734670338,0.092,"Novo_BW WT"
1.9421734670338,0.077,"Novo_BW WT"
1.9421734670338,0.076,"Novo_BW WT"
1.9421734670338,0.047,"Novo_BW tolC"
1.9421734670338,0.047,"Novo_BW tolC"
1.9421734670338,0.046,"Novo_BW tolC"
1.9421734670338,0.045,"Blank"
1.46505221231414,0.211,"Novo_BW WT"
1.46505221231414,0.16,"Novo_BW WT"
1.46505221231414,0.114,"Novo_BW WT"
1.46505221231414,0.045,"Novo_BW tolC"
1.46505221231414,0.044,"Novo_BW tolC"
1.46505221231414,0.044,"Novo_BW tolC"
1.46505221231414,0.042,"Blank"
0.987930957594473,0.334,"Novo_BW WT"
0.987930957594473,0.261,"Novo_BW WT"
0.987930957594473,0.235,"Novo_BW WT"
0.987930957594473,0.047,"Novo_BW tolC"
0.987930957594473,0.046,"Novo_BW tolC"
0.987930957594473,0.047,"Novo_BW tolC"
0.987930957594473,0.043,"Blank"
0.510809702874811,0.427,"Novo_BW WT"
0.510809702874811,0.336,"Novo_BW WT"
0.510809702874811,0.285,"Novo_BW WT"
0.510809702874811,0.05,"Novo_BW tolC"
0.510809702874811,0.053,"Novo_BW tolC"
0.510809702874811,0.05,"Novo_BW tolC"
0.510809702874811,0.042,"Blank"
0.0336884481551482,0.439,"Novo_BW WT"
0.0336884481551482,0.295,"Novo_BW WT"
0.0336884481551482,0.294,"Novo_BW WT"
0.0336884481551482,0.061,"Novo_BW tolC"
0.0336884481551482,0.059,"Novo_BW tolC"
0.0336884481551482,0.062,"Novo_BW tolC"
0.0336884481551482,0.043,"Blank"
-0.443432806564514,0.45,"Novo_BW WT"
-0.443432806564514,0.305,"Novo_BW WT"
-0.443432806564514,0.289,"Novo_BW WT"
-0.443432806564514,0.234,"Novo_BW tolC"
-0.443432806564514,0.249,"Novo_BW tolC"
-0.443432806564514,0.259,"Novo_BW tolC"
-0.443432806564514,0.042,"Blank"
-0.920554061284177,0.463,"Novo_BW WT"
-0.920554061284177,0.312,"Novo_BW WT"
-0.920554061284177,0.28,"Novo_BW WT"
-0.920554061284177,0.278,"Novo_BW tolC"
-0.920554061284177,0.353,"Novo_BW tolC"
-0.920554061284177,0.334,"Novo_BW tolC"
-0.920554061284177,0.258,"Blank"
-1.39767531600384,0.472,"Novo_BW WT"
-1.39767531600384,0.304,"Novo_BW WT"
-1.39767531600384,0.285,"Novo_BW WT"
-1.39767531600384,0.392,"Novo_BW tolC"
-1.39767531600384,0.409,"Novo_BW tolC"
-1.39767531600384,0.367,"Novo_BW tolC"
-1.39767531600384,0.043,"Blank"
-1.8747965707235,0.507,"Novo_BW WT"
-1.8747965707235,0.321,"Novo_BW WT"
-1.8747965707235,0.295,"Novo_BW WT"
-1.8747965707235,0.357,"Novo_BW tolC"
-1.8747965707235,0.36,"Novo_BW tolC"
-1.8747965707235,0.367,"Novo_BW tolC"
-1.8747965707235,0.042,"Blank"
-Inf,0.497,"Novo_BW WT"
-Inf,0.341,"Novo_BW WT"
-Inf,0.314,"Novo_BW WT"
-Inf,0.366,"Novo_BW tolC"
-Inf,0.374,"Novo_BW tolC"
-Inf,0.415,"Novo_BW tolC"
-Inf,0.042,"Blank"
