"concentration","value","compound"
1.39794000867204,0.267,"AR_349_PA14 WT"
1.39794000867204,0.346,"AR_349_PA14 WT"
1.39794000867204,0.294,"AR_349_PA14 WT"
1.39794000867204,0.291,"AR_349_PA14 WT"
1.39794000867204,0.048,"AR_349_PA14 delta mexAB"
1.39794000867204,0.051,"AR_349_PA14 delta mexAB"
1.39794000867204,0.051,"AR_349_PA14 delta mexAB"
1.39794000867204,0.045,"AR_349_PA14 delta mexAB"
1.39794000867204,0.05,"Blank"
0.920818753952375,0.251,"AR_349_PA14 WT"
0.920818753952375,0.259,"AR_349_PA14 WT"
0.920818753952375,0.256,"AR_349_PA14 WT"
0.920818753952375,0.238,"AR_349_PA14 WT"
0.920818753952375,0.044,"AR_349_PA14 delta mexAB"
0.920818753952375,0.044,"AR_349_PA14 delta mexAB"
0.920818753952375,0.043,"AR_349_PA14 delta mexAB"
0.920818753952375,0.044,"AR_349_PA14 delta mexAB"
0.920818753952375,0.042,"Blank"
0.619788758288394,0.26,"AR_349_PA14 WT"
0.619788758288394,0.263,"AR_349_PA14 WT"
0.619788758288394,0.282,"AR_349_PA14 WT"
0.619788758288394,0.275,"AR_349_PA14 WT"
0.619788758288394,0.042,"AR_349_PA14 delta mexAB"
0.619788758288394,0.044,"AR_349_PA14 delta mexAB"
0.619788758288394,0.043,"AR_349_PA14 delta mexAB"
0.619788758288394,0.042,"AR_349_PA14 delta mexAB"
0.619788758288394,0.04,"Blank"
0.318758762624413,0.392,"AR_349_PA14 WT"
0.318758762624413,0.444,"AR_349_PA14 WT"
0.318758762624413,0.443,"AR_349_PA14 WT"
0.318758762624413,0.354,"AR_349_PA14 WT"
0.318758762624413,0.072,"AR_349_PA14 delta mexAB"
0.318758762624413,0.073,"AR_349_PA14 delta mexAB"
0.318758762624413,0.072,"AR_349_PA14 delta mexAB"
0.318758762624413,0.07,"AR_349_PA14 delta mexAB"
0.318758762624413,0.041,"Blank"
0.0177287669604316,0.431,"AR_349_PA14 WT"
0.0177287669604316,0.452,"AR_349_PA14 WT"
0.0177287669604316,0.443,"AR_349_PA14 WT"
0.0177287669604316,0.413,"AR_349_PA14 WT"
0.0177287669604316,0.203,"AR_349_PA14 delta mexAB"
0.0177287669604316,0.202,"AR_349_PA14 delta mexAB"
0.0177287669604316,0.213,"AR_349_PA14 delta mexAB"
0.0177287669604316,0.227,"AR_349_PA14 delta mexAB"
0.0177287669604316,0.04,"Blank"
-0.28330122870355,0.437,"AR_349_PA14 WT"
-0.28330122870355,0.46,"AR_349_PA14 WT"
-0.28330122870355,0.44,"AR_349_PA14 WT"
