"concentration","value","compound"
0.879095879500073,0.053,"GT3_043_BW WT"
0.879095879500073,0.052,"GT3_043_BW WT"
0.879095879500073,0.052,"GT3_043_BW WT"
0.879095879500073,0.047,"GT3_043_BW tolC"
0.879095879500073,0.048,"GT3_043_BW tolC"
0.879095879500073,0.047,"GT3_043_BW tolC"
0.879095879500073,0.046,"Blank"
0.40197462478041,0.053,"GT3_043_BW WT"
0.40197462478041,0.052,"GT3_043_BW WT"
0.40197462478041,0.052,"GT3_043_BW WT"
0.40197462478041,0.046,"GT3_043_BW tolC"
0.40197462478041,0.046,"GT3_043_BW tolC"
0.40197462478041,0.046,"GT3_043_BW tolC"
0.40197462478041,0.043,"Blank"
-0.0751466299392521,0.058,"GT3_043_BW WT"
-0.0751466299392521,0.056,"GT3_043_BW WT"
-0.0751466299392521,0.054,"GT3_043_BW WT"
-0.0751466299392521,0.047,"GT3_043_BW tolC"
-0.0751466299392521,0.049,"GT3_043_BW tolC"
-0.0751466299392521,0.047,"GT3_043_BW tolC"
-0.0751466299392521,0.045,"Blank"
-0.552267884658915,0.065,"GT3_043_BW WT"
-0.552267884658915,0.06,"GT3_043_BW WT"
-0.552267884658915,0.059,"GT3_043_BW WT"
-0.552267884658915,0.047,"GT3_043_BW tolC"
-0.552267884658915,0.083,"GT3_043_BW tolC"
-0.552267884658915,0.047,"GT3_043_BW tolC"
-0.552267884658915,0.043,"Blank"
-1.02938913937858,0.212,"GT3_043_BW WT"
-1.02938913937858,0.154,"GT3_043_BW WT"
-1.02938913937858,0.205,"GT3_043_BW WT"
-1.02938913937858,0.05,"GT3_043_BW tolC"
-1.02938913937858,0.052,"GT3_043_BW tolC"
-1.02938913937858,0.05,"GT3_043_BW tolC"
-1.02938913937858,0.043,"Blank"
-1.50651039409824,0.068,"GT3_043_BW WT"
-1.50651039409824,0.213,"GT3_043_BW WT"
-1.50651039409824,0.066,"GT3_043_BW WT"
-1.50651039409824,0.255,"GT3_043_BW tolC"
-1.50651039409824,0.05,"GT3_043_BW tolC"
-1.50651039409824,0.048,"GT3_043_BW tolC"
-1.50651039409824,0.043,"Blank"
-1.9836316488179,0.086,"GT3_043_BW WT"
-1.9836316488179,0.082,"GT3_043_BW WT"
-1.9836316488179,0.079,"GT3_043_BW WT"
-1.9836316488179,0.053,"GT3_043_BW tolC"
-1.9836316488179,0.3,"GT3_043_BW tolC"
-1.9836316488179,0.278,"GT3_043_BW tolC"
-1.9836316488179,0.044,"Blank"
-2.46075290353756,0.391,"GT3_043_BW WT"
-2.46075290353756,0.336,"GT3_043_BW WT"
-2.46075290353756,0.326,"GT3_043_BW WT"
-2.46075290353756,0.241,"GT3_043_BW tolC"
-2.46075290353756,0.272,"GT3_043_BW tolC"
-2.46075290353756,0.248,"GT3_043_BW tolC"
-2.46075290353756,0.042,"Blank"
-2.93787415825723,0.336,"GT3_043_BW WT"
-2.93787415825723,0.3,"GT3_043_BW WT"
-2.93787415825723,0.279,"GT3_043_BW WT"
-2.93787415825723,0.237,"GT3_043_BW tolC"
-2.93787415825723,0.263,"GT3_043_BW tolC"
-2.93787415825723,0.241,"GT3_043_BW tolC"
-2.93787415825723,0.043,"Blank"
-3.41499541297689,0.305,"GT3_043_BW WT"
-3.41499541297689,0.272,"GT3_043_BW WT"
-3.41499541297689,0.265,"GT3_043_BW WT"
-3.41499541297689,0.304,"GT3_043_BW tolC"
-3.41499541297689,0.289,"GT3_043_BW tolC"
-3.41499541297689,0.274,"GT3_043_BW tolC"
-3.41499541297689,0.042,"Blank"
-3.89211666769655,0.335,"GT3_043_BW WT"
-3.89211666769655,0.284,"GT3_043_BW WT"
-3.89211666769655,0.29,"GT3_043_BW WT"
-3.89211666769655,0.346,"GT3_043_BW tolC"
-3.89211666769655,0.341,"GT3_043_BW tolC"
-3.89211666769655,0.308,"GT3_043_BW tolC"
-3.89211666769655,0.044,"Blank"
-Inf,0.372,"GT3_043_BW WT"
-Inf,0.301,"GT3_043_BW WT"
-Inf,0.295,"GT3_043_BW WT"
-Inf,0.328,"GT3_043_BW tolC"
-Inf,0.359,"GT3_043_BW tolC"
-Inf,0.371,"GT3_043_BW tolC"
-Inf,0.275,"Blank"
